name,image,Trivia,Quotes,Trademark,Nickname,Star Sign,Born,Height:,Awards,Died
Pankaj Kapur,"https://m.media-amazon.com/images/M/MV5BZTY2NjI0ZjYtMDM2My00ZjE1LWFiNmQtYWI3OGY2NDgwNTE3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR2,0,86,128_AL_.jpg",Married Neelima Azim in 1979.,,,,Gemini,"May 29,      1954      ;Ludhiana, Punjab, India",,11 wins & 14 nominations.,
Prabhu Deva,"https://m.media-amazon.com/images/M/MV5BMTY4MzAyODE3NV5BMl5BanBnXkFtZTcwMjM3Mjc4OQ@@._V1_UX86_CR0,0,86,128_AL_.jpg",,,,,,Prabhu Sundaram,"5'7½""(1.71m)",11 wins & 6 nominations.,
Prem Chopra,"https://m.media-amazon.com/images/M/MV5BM2U2OTEzM2UtMjhlNC00NTYxLWI5MDItM2RjYzNhYmNhYWFmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR3,0,86,128_AL_.jpg","Prem Chopra was paired with Bindu in films like Lagan, Do Raaste, Kati Patang, Tyaag, Daag, Phandebaaz, Gehri Chaal, Nafrat very frequently and both made great popular pair among audiences.",,,,Libra,"September 23,      1935      ;Lahore, Punjab, British India","6'2""(1.88m)",2 wins.,
Pooja Bhatt,"https://m.media-amazon.com/images/M/MV5BNTkxOTIwNzYxMl5BMl5BanBnXkFtZTgwMDE5OTczOTE@._V1_UX86_CR0,0,86,128_AL_.jpg",Aunt to actress Masumeh Makhija ( Husband Munish's niece).,,,Bhoot Bhatt,Pisces,"Pooja Mahesh Bhatt;February 24,      1972      ;Bombay, Maharashtra, India","5'1""(1.55m)",5 wins & 1 nomination.,
Pavan Malhotra,"https://m.media-amazon.com/images/M/MV5BNDlkYzllMDktZDk5OC00NWM5LTgzM2ItMmYxYTM4ZmMwODQ4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR5,0,86,128_AL_.jpg","Fomerly married to TV Host, actress, director Aparajita Krishna. She was in Shyam Benegal's Discover India.",,,,Cancer,"July 2,      1958      ;Delhi, India","5'6""(1.68m)",2 nominations.,
Piyush Mishra,"https://m.media-amazon.com/images/M/MV5BMDc5MGFlZTMtMmQ1Zi00YjkxLWE3ZGItZGNkNTExYjJhNGFhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR5,0,86,128_AL_.jpg",Was considered for Salman Khan's role in Maine Pyar Kiya.,,,,,,,2 wins & 3 nominations.,
Prashant Narayanan,"https://m.media-amazon.com/images/M/MV5BNjFlYjBjY2ItMGIxMi00ZTAzLThhMmEtM2M2NDk0OWViYmFlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR6,0,86,128_AL_.jpg","Starred in the completed and shelved movie ""Avavtar""( 2013) Starring Govinda, Prashant Narayanan, Yashpal Sharma,Raika, Special Appearance by Sunny Deol and Shatrughan Sinha. Music by Sameer Tandon. Produced and Directed by Pahlaj Nihalani.",,,,,,,2 nominations.,
Rahul Dev,"https://m.media-amazon.com/images/M/MV5BZjQxMTRhNzktZmM4OS00ZmZlLTkxYzYtMmI1ZWMzNTFmMTdkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR8,0,86,128_AL_.jpg","Starred in the shelved film ""EK"" directed by Rahul Anand (Mukul Anand's brother). This was in 2000.",,,,,Rahul Dev Kaushal,,2 wins & 3 nominations.,
Rahul Bose,"https://m.media-amazon.com/images/M/MV5BMjE2MjY2ODY4N15BMl5BanBnXkFtZTgwNDcwMTE0OTE@._V1_UX86_CR0,0,86,128_AL_.jpg",Is left-handed.,,,,Leo,"July 27,      1967      ;India","5'6""(1.68m)",2 wins & 3 nominations.,
Rekha,"https://m.media-amazon.com/images/M/MV5BNjU2MDU4NzI5OF5BMl5BanBnXkFtZTcwNjQ4Njg5Nw@@._V1_UX86_CR0,0,86,128_AL_.jpg",Featured in the international Harper and Queens magazine in 1987.,"Maybe beauty lies in the eye of the beholder, in one self. So what? I don't care if it's said she's on some sort of spiritual trip, she's obscure, vague, not normal.. she wants to be different. I'm not so different.. but people don't want to be ...",            She has mesmeric eyes that she uses with devastating effect        ,Madame X,Libra,"Bhanurekha Gemini Ganesan;October 10,      1954      ;Madras, Madras State, India","5'5¼""(1.65m)",12 wins & 16 nominations.,
Ratna Pathak Shah,https://m.media-amazon.com/images/M/MV5BMjQwMzc5NDQ0NF5BMl5BanBnXkFtZTgwNDg1ODA0OTE@._V1_UY128_UX86_AL_.jpg,Father Baldev Pathak use to stitch clothes for Rajesh Khanna. He was a famous tailor .,,,,Pisces,"March 18,      1963      ;Bombay, Maharashtra, India",,2 wins & 19 nominations.,
Rajendra Kumar,"https://m.media-amazon.com/images/M/MV5BMTYwY2Y5ZWUtOGMxZC00ZDZlLWEzNGUtYmJkMGU3YTNhNWE3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR10,0,86,128_AL_.jpg","Starred in the shelved film Raviraj Films ""Aawara Raju"" (1977) Starring Rajendra Kumar,Randhir Kapoor, Nutan, Rekha, Ranjeet. Music by RD Burman.Directed by Firoz Chinoy.",,,Jubilee Kumar,Cancer,"Rajendra Kumar Tuli;July 20,      1929      ;Sialkot, Punjab, British India","5'8""(1.73m)",4 nominations.,"July 29,      1999                                  (age 70)                    ;Mumbai, Maharashtra, India"
Rajat Kapoor,"https://m.media-amazon.com/images/M/MV5BNDBlM2ZiZmEtYzYyMC00ZWNlLTkxMzQtOGFlMzgxZDg5NjdhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR7,0,86,128_AL_.jpg",Brother is stand up comic Rajneesh Kapoor.,,,,Aquarius,"February 11,      1961      ;New Delhi, India",,6 wins & 10 nominations.,
Ranbir Kapoor,"https://m.media-amazon.com/images/M/MV5BMTk2ODU5Mjk2MV5BMl5BanBnXkFtZTcwODEzNDg3OA@@._V1_UX86_CR0,0,86,128_AL_.jpg",Grandnephew of actor Pinchoo Kapoor.( Raj Kapoor's paternal cousin).,,,Dabbu,Libra,"September 28,      1982      ;Mumbai, India",,43 wins & 41 nominations.,
Raghuvir Yadav,"https://m.media-amazon.com/images/M/MV5BNTIzOWZhMjctNTBkMi00YTc0LThhOGYtMDFlZmI4ZmNkZTZiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR2,0,86,128_AL_.jpg","Starred in the shelved movie Positive Communications ""Ashray""(1999) Starring Nirmal Pandey ( Replaced by Sadhu Meher),Raghuvir Yadav,Vijay Kashyap,Arun Bali,Rajesh Arya,Vivek Asthana,Ritesh Sinha,Produced by Madan Mehra,Rajen Kumar,Rakesh Mehta, ...",,,,Cancer,"June 25,      1957      ;Jabalpur, Madhya Pradesh, India",,1 nomination.,
Rajkummar Rao,"https://m.media-amazon.com/images/M/MV5BMzAxNWIzOWItMDM1NC00NGMyLWIwMDEtNWZjODEyOTFiZjQ4XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_UX86_CR0,0,86,128_AL_.jpg","Starred in the shelved film ""Kane and Abel"" Directed by Hansal Mehta.",,,,,,"5'7""(1.7m)",15 wins & 19 nominations.,
Revathy,"https://m.media-amazon.com/images/M/MV5BZjc4NTAwMmQtMWQyMS00NGU4LWEzNmYtZTMyODJhOGZjMGRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX86_CR0,0,86,128_AL_.jpg","When she was in school, she took part in a fashion show. Group photos were taken during the show and a photo was chosen to be the cover of a popular Tamil magazine. This happened to be her photo, which was seen by the director Bharathiraja, who, at ...",,,,Cancer,"Asha Kelunni;July 8,      1966      ;Kochi, Kerala, India",,9 wins & 4 nominations.,
Raaj Kumar,"https://m.media-amazon.com/images/M/MV5BZjNlMTdhYjYtODI0My00OTA2LTlkM2QtMGU5N2RhNWVlMWVjXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR5,0,86,128_AL_.jpg","Brothers names are Mahindernath Pandit (Married to Rupan Pandit). Anand Babi Pandit (Married with a son and daughter named Mrs Wanchoo), Jeevanlal (Pyarebhai) Pandit ( Married to Sarup Pandit).",,,Jaani,Libra,"Kulbhushan Pandit;October 8,      1926      ;Loralai, Baluchistan, British India",,2 wins & 3 nominations.,"July 3,      1996                                  (age 69)                    ;Mumbai, Maharashtra, India"
Ramya Krishnan,"https://m.media-amazon.com/images/M/MV5BZThmMmJlZGQtZDgyMy00YmIyLTk1NDQtMGQ0N2EzYzUxMWNiXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY128_CR0,0,86,128_AL_.jpg",Wed director 'Krishna Vamsi' in 2003 after meeting on set.,,,,Virgo,"September 15,      1970      ;Madras, Tamil Nadu, India","5'4""(1.63m)",12 wins & 7 nominations.,
Rajinikanth,"https://m.media-amazon.com/images/M/MV5BMTA3MDcyNzkxMjZeQTJeQWpwZ15BbWU3MDUxMTU4Njg@._V1_UY128_CR0,0,86,128_AL_.jpg","Despite being a megastar of Tamil movies, he is not Tamil.",Meditation is the key to his energy.,            Spiritual nature in real-life        ,Superstar,Sagittarius,"Shivaji Rao Gaekwad;December 12,      1950      ;Bangalore, Mysore State, India","5'7""(1.7m)",19 wins & 4 nominations.,
Rani Mukerji,"https://m.media-amazon.com/images/M/MV5BMjI4MjI2MTEwOV5BMl5BanBnXkFtZTgwMzkxMDU0OTE@._V1_UX86_CR0,0,86,128_AL_.jpg",Daughter of director Ram Mukherjee and Krishna Mukherjee.,Why should I try to imitate Kajol? I am not a mimicry artist.,            Queen of Bollywood        ,,Aries,"March 21,      1978      ;Calcutta, West Bengal, India",5'(1.52m),29 wins & 43 nominations.,
Ranveer Singh,"https://m.media-amazon.com/images/M/MV5BMTExOTcwMDU4NTReQTJeQWpwZ15BbWU3MDA0MjE1MTc@._V1_UY128_CR0,0,86,128_AL_.jpg","Ranveer was sent to Delhi University by the director of Band Baaja Baaraat, Maneesh Sharma, which is where he drew his inspiration for the role of Bittoo Sharma.",Everything was so bleak. It was very frustrating. There were times I would think whether I was doing the right thing or not.,,,Cancer,"Ranveer Bhavnani;July 6,      1985      ;Bombay, Maharashtra, India","5'8""(1.73m)",44 wins & 22 nominations.,
Rishi Kapoor,"https://m.media-amazon.com/images/M/MV5BMjJmNjM1YmUtNTA2Zi00Y2U0LTgyZTItMjQ5MTE4NWJhMDgyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR6,0,86,128_AL_.jpg","After Nagina, Harmesh Malhotra had launched a film titled ""Mardangi"" with Vinod Khanna, Rishi Kapoor and Sridevi in a double role. It was shelved so Malhotra could make Nighahein.",I landed in Bobby by default. There was a misconception that the film was made to launch me as an actor. The film was actually made to pay the debts of Mera Naam Joker. Dad wanted to make a love story and he did not have money to cast superstar ...,,Chintoo,Virgo,"September 4,      1952      ;Bombay, State of Bombay, India","5'5¼""(1.65m)",18 wins & 22 nominations.,"April 30,      2020                                  (age 67)                    ;Mumbai, Maharashtra, India"
Rajesh Khanna,"https://m.media-amazon.com/images/M/MV5BMTQ1OTE5NDEwNV5BMl5BanBnXkFtZTcwNjgzMTcxOA@@._V1_UY128_CR1,0,86,128_AL_.jpg",Rajesh Khanna started accepting unconventional roles right from his age of 23 in 1966 and even after getting Superstar status at age of 26 continued to do variety of roles as the hero till age of 50 in 1991.No other star in Hindi films other than ...,(1990) We cannot be expected to sacrifice our lives for cinema.Its matter of our children's lives.Today my children have grown up and Dimple is working in my film Jai Shiv Shankar. Dimple and I just developed misunderstandings so were separated for ...,,Shehzada,Capricorn,"Jatin Chunnilal Khanna;December 29,      1942      ;Amritsar, Punjab, British India [now India]","5'6¼""(1.69m)",29 wins & 16 nominations.,"July 18,      2012                                  (age 69)                    ;Mumbai, Maharashtra, India"
Raghuvaran,"https://m.media-amazon.com/images/M/MV5BZjM0NmMyZTYtYmY3My00NDFkLTk1YTAtOGE3YTVjMGMyNzQ5XkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UX86_CR0,0,86,128_AL_.jpg","Is currently a supporting actor for the lead heroes in Tamil movies, like Madhavan and Vijay.",,,,Sagittarius,"Raghuvaran Velayutham Nair;December 10,      1958      ;Kollankod, Palakkad, Kerala, India",,1 win.,"March 19,      2008                                  (age 49)                    ;Chennai, Tamil Nadu, India"
Raj Babbar,"https://m.media-amazon.com/images/M/MV5BMTQ1MjEwMjM3MF5BMl5BanBnXkFtZTgwNjM4NDczMDE@._V1_UX86_CR0,0,86,128_AL_.jpg","Starred in the shelved movie,Chiragdeep International's ""Kohonoor""(1997)Starring Abhishek Kapoor,Raj Babbar,Shakti Kapoor,Sadashiv Amrapurkar,Suresh Oberoi,Music by Anu Malik, Directed by Kuku Kohli, Reels:10.",,,,Cancer,"June 23,      1952      ;Tundla, Uttar Pradesh, India","5'7""(1.7m)",1 win & 3 nominations.,
Raj Kapoor,"https://m.media-amazon.com/images/M/MV5BNjYwODQzMjk3Ml5BMl5BanBnXkFtZTYwNzIxMjky._V1_UY128_CR5,0,86,128_AL_.jpg",Uncle to actor Jatin Sial ( Sister Urmila 's son). His sister name is Preeti Sial Grover.,"Our people are gracious and kind. They go to all the trouble to go to a cinema, stand in long queues and procure a ticket. They go through the hustle and bustle, through the blazing sun and the thrashing rain, to see your film, and; as I have always...",,Showman of Bollywood,Sagittarius,"Ranbir Raj Kapoor;December 14,      1924      ;Peshawar, North-West Frontier Province, British India","5'7""(1.7m)",16 wins & 9 nominations.,"June 2,      1988                                  (age 63)                    ;New Delhi, India"
Rajit Kapoor,"https://m.media-amazon.com/images/M/MV5BZDhlNDEwMjgtMWY5NC00MGEyLThhODEtZjAyYzIyMmU1ZDUxXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR5,0,86,128_AL_.jpg",,,,,Gemini,"May 22,      1960      ;Amritsar, Punjab, India",,2 wins.,
Radhika Apte,"https://m.media-amazon.com/images/M/MV5BZmQ0NjY5YmItMTAwOC00MWVlLThkZTgtYmZhMDg1ZjY2ODMwXkEyXkFqcGdeQXVyNjM5MTI3ODQ@._V1_UX86_CR0,0,86,128_AL_.jpg",Was involved with Tusshar Kapoor during Shor in The City.,A producer tried to use his power against me. I just took off my jewellery and said 'Bye bye'. He then sued me but nothing happened.,,,,,"5'1½""(1.56m)",6 wins & 9 nominations.,
Rakhee Gulzar,"https://m.media-amazon.com/images/M/MV5BMDVlNTM4YTUtNjA2My00OWQ0LThjYzAtYmU0ZGQ0NGE3YjQ1XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX86_CR0,0,86,128_AL_.jpg",She refused to shoot a scene in Gulmarg because of a lump of poop was lying there. Hrishikesh Mukherjee himself picked it up and threw it away and then shooting resumed.,Rajesh was the most versatile among heroes with whom I have worked. Rajesh was like one of the seven wonders for the industry. There was magic in his face and mannerisms. He was shy and conservative but misunderstood.He did not use any make up ever....,,,Leo,"Rakhee Mazumdar;August 15,      1947      ;Ranaghat, West Bengal, India","5'2½""(1.59m)",8 wins & 10 nominations.,
Riteish Deshmukh,"https://m.media-amazon.com/images/M/MV5BMTU3NDM3NDM3Ml5BMl5BanBnXkFtZTgwMzk4ODEzOTE@._V1_UY128_CR5,0,86,128_AL_.jpg",Younger brother Dheeraj is married to Jacky Bhagnani's elder sister Honey.,,,Ritesh D,Sagittarius,"December 17,      1978      ;Latur, Maharashtra, India","5'8""(1.73m)",14 wins & 18 nominations.,
Ranvir Shorey,"https://m.media-amazon.com/images/M/MV5BMTIzOTE5MzMyMl5BMl5BanBnXkFtZTcwMjAyNzAyMg@@._V1_UY128_CR53,0,86,128_AL_.jpg",Brother named Srinath. He is married to a lady named Manisha Malhotra. They have a son named Parth.,,,,Leo,"August 18,      1972      ;Jalandhar, Punjab, India",6'(1.83m),1 win & 2 nominations.,
Richa Chadha,"https://m.media-amazon.com/images/M/MV5BOTQ3MzVkNjUtODYwNi00N2Q2LTg3YTAtNDUxM2JiNDViN2IyXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY128_CR8,0,86,128_AL_.jpg",,,,,,,"5'1¾""(1.57m)",5 wins & 12 nominations.,
Rajpal Yadav,"https://m.media-amazon.com/images/M/MV5BMTQ3MTI4MzUyNl5BMl5BanBnXkFtZTgwMjAzMTMzOTE@._V1_UY128_CR0,0,86,128_AL_.jpg","Starred in Nandita Singgha's shelved film ""Gabbar Singh.com"". This was in 2005.",,,,Pisces,"March 16,      1971      ;Shahjahanpur, Uttar Pradesh, India","5'3""(1.6m)",1 win & 8 nominations.,
Raju Srivastava,"https://m.media-amazon.com/images/M/MV5BZjc5MTYwYjEtZmJiMC00YzA3LThiZGYtMWY2NjE2ZDNmYWFjXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY128_CR5,0,86,128_AL_.jpg",,,,,Capricorn,"Satya Prakash Srivastava;December 25,      1963      ;Kanpur, Uttar Pradesh, India",,,
Randeep Hooda,"https://m.media-amazon.com/images/M/MV5BMjk4NjkxNTkxMl5BMl5BanBnXkFtZTgwMzUwNDA3NDE@._V1_UY128_CR21,0,86,128_AL_.jpg",Was approached for Maqbool but could not accept due to his contract with Ram Gopal Varma.,At the end of the day an actor is only a cog in the wheel. But experience helps. I've done six films in as many years. But I've learnt a lot more. I'm losing my unawareness and becoming more humble,,,Leo,"August 20,      1976      ;Rohtak, Haryana, India","5'10""(1.78m)",2 wins & 6 nominations.,
Sanjay Mishra,"https://m.media-amazon.com/images/M/MV5BMTM0OTU2NDYyNl5BMl5BanBnXkFtZTYwNTYyNDgy._V1_UX86_CR0,0,86,128_AL_.jpg",First wife is actress Roshni Achreja.,,,,,,"5'5½""(1.66m)",6 wins & 8 nominations.,
Shabana Azmi,"https://m.media-amazon.com/images/M/MV5BMTQ1NTE0NDgxMl5BMl5BanBnXkFtZTYwNzMyODEz._V1_UY128_CR11,0,86,128_AL_.jpg",Sister of Baba Azmi.,"To speak in Parliament you really need to do your homework, otherwise you can be torn to shreds.",,,Virgo,"September 18,      1950      ;New Delhi, India","5'6""(1.68m)",27 wins & 12 nominations.,
Shakti Kapoor,"https://m.media-amazon.com/images/M/MV5BMTY2MDE1MTQ2N15BMl5BanBnXkFtZTgwNTk2OTczOTE@._V1_UX86_CR0,0,86,128_AL_.jpg",His longevity and legend status can be attributed to his willingness to adapt to change and become a comedian. He was a out-and-out villain and nothing else. Then he must have realized that it will not serve him long. Newcomers are entering the ...,,,,Virgo,"Sunil Kapoor;September 3,      1952      ;New Delhi, India","5'9""(1.75m)",1 win & 3 nominations.,
Saif Ali Khan,"https://m.media-amazon.com/images/M/MV5BMTUyNjI2NTg3M15BMl5BanBnXkFtZTcwNDEzNDg3OA@@._V1_UX86_CR0,0,86,128_AL_.jpg",Formed a popular on screen team with Akshay Kumar in Main Khiladi Tu Anari which led him to do two more movies with Akshay.,"His thoughts on Parineeta (2005): ""Performance wise it has given me a lot to explore. The film is set in the 60s. Whenever I think of the 60s, I think of my father. My character is based on him. Parineeta has me playing an oppressed son. He finally ...",            His smile        ,Chote Nawab,Leo,"Sajid Ali Khan;August 16,      1970      ;New Delhi, India","5'6""(1.68m)",27 wins & 33 nominations.,
Shah Rukh Khan,"https://m.media-amazon.com/images/M/MV5BZDk1ZmU0NGYtMzQ2Yi00N2NjLTkyNWEtZWE2NTU4NTJiZGUzXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR2,0,86,128_AL_.jpg",Is very scared of riding horses.,I don't look at the figures that my movies make. The only figures I look at are girl's figures. (When asked to comment on what he felt about the figures his movies gross.),            His Signature Pose by slowly waving both hands in a rising upward motion        ,The Badshah of Bollywood,Scorpio,"November 2,      1965      ;New Delhi, India","5'6¼""(1.69m)",92 wins & 73 nominations.,
Sunil Dutt,"https://m.media-amazon.com/images/M/MV5BNzM0OTA3MDAxN15BMl5BanBnXkFtZTgwMzg2OTczOTE@._V1_UX86_CR0,0,86,128_AL_.jpg","Starred in the shelved movie Kant Kumar Productions ""Armaan""(1978).Starring Sunil Dutt,Randhir Kapoor, Neetu Singh,Asrani,Chadrashekhar,Prem Nath, Manju Bansal, Music by Rahul Dev Burman, Produced Kanta Kumar,Direcred by Ashok Roy.",,,,Gemini,"Balraj Dutt;June 6,      1930      ;Jhelum, Punjab, British India","5'10""(1.78m)",5 wins & 1 nomination.,"May 25,      2005                                  (age 74)                    ;Mumbai, Maharashtra, India"
Sharman Joshi,"https://m.media-amazon.com/images/M/MV5BYWE5MWNkYWQtZTZjZS00N2U0LTgzNzMtNzZkMzJmMWYzZWNkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR1,0,86,128_AL_.jpg","In 1996, ABCL ( Amitabh Bachchan Corporation Limited) held a all India talent search contest called Star Track. 9 boys and girls were selected. Sharman Joshi and Narendra Jha were chosen out of millions of entrants.",,,,Taurus,"April 28,      1979      ;Bombay, Maharashtra, India","5'9""(1.75m)",2 wins & 7 nominations.,
Shashi Kapoor,"https://m.media-amazon.com/images/M/MV5BNTcyNDUwNzEzNl5BMl5BanBnXkFtZTgwOTMxMjMzOTE@._V1_UY128_CR22,0,86,128_AL_.jpg","Shashi Kapoor did 61 solo lead hero films in Hindi and, of them, 33 were super-hits. Shashi did 54 multi-star cast movies where Shashi was one of the lead heroes and, of them, 34 were super-hits.","[In 2014, on the topic of casting couch in the 1960s] You've no idea how Dharmendra and Sanjay Khan were blackmailed by senior actresses when they were newcomers. I'm very grateful to Nanda that she was extremely gracious and decent with me.",,,Pisces,"Balbir Raj Kapoor;March 18,      1938      ;Calcutta, Bengal Presidency, British India","5'9""(1.75m)",6 wins.,"December 4,      2017                                  (age 79)                    ;Mumbai, Maharashtra, India"
Smita Patil,"https://m.media-amazon.com/images/M/MV5BMTU3MTUyMjI4OF5BMl5BanBnXkFtZTgwNDgxNzE4MDE@._V1_UY128_CR1,0,86,128_AL_.jpg",Close relationship with Vinod Khanna in 1980.,,,,Libra,"October 17,      1955      ;Pune, State of Bombay, India","5'6""(1.68m)",5 wins & 4 nominations.,"December 13,      1986                                  (age 31)                    ;Bombay, Maharashtra, India"
Surekha Sikri,"https://m.media-amazon.com/images/M/MV5BYzI0NGU4NDQtMjZiZS00Mjc2LTk3Y2ItY2NhYmYwOTEyZjQyXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY128_CR21,0,86,128_AL_.jpg",Her sister Parveen was married to actor Naseeruddin Shah in 1970. Their daughter is actress Heeba Shah.,,,,Aries,"April 19,      1945      ;New Delhi, British India",,11 wins & 3 nominations.,
Sharman Joshi,"https://m.media-amazon.com/images/M/MV5BYWE5MWNkYWQtZTZjZS00N2U0LTgzNzMtNzZkMzJmMWYzZWNkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR1,0,86,128_AL_.jpg","In 1996, ABCL ( Amitabh Bachchan Corporation Limited) held a all India talent search contest called Star Track. 9 boys and girls were selected. Sharman Joshi and Narendra Jha were chosen out of millions of entrants.",,,,Taurus,"April 28,      1979      ;Bombay, Maharashtra, India","5'9""(1.75m)",2 wins & 7 nominations.,
Shashank Arora,"https://m.media-amazon.com/images/M/MV5BMTcxODc3NzkxOF5BMl5BanBnXkFtZTgwMzUwOTU3MTE@._V1_UY128_CR53,0,86,128_AL_.jpg",,,,Sunny,,,"5'9""(1.75m)",1 nomination.,
Shreyas Talpade,"https://m.media-amazon.com/images/M/MV5BMjZhOTQzNTEtNGY4NS00ZmQxLThkMDEtM2M4NDVjMjc0MWNlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR7,0,86,128_AL_.jpg","Starred in the shelved movie ""Trishanku"". (2013). The was to be a trilingual in Kannada, Marathi and Hindi. The film was previously titled ""Oosaravalli"" then ""Khatarnak"" then ""Halkat"". The film starred Srinagar Kitty, Shreyas Talpade, Mahaakshay ...",,,,Aquarius,"January 27,      1976      ;Bombay, Maharashtra, India","5'7""(1.7m)",3 wins & 5 nominations.,
Shernaz Patel,"https://m.media-amazon.com/images/M/MV5BNTBjN2U2MTgtZjhhMC00YjE4LWI5ODQtN2EwYmJhNTU4MDdkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR9,0,86,128_AL_.jpg",Sad but this pretty and talented actress never made it big. Especially after the whole country appreciated her on her debut -Mahesh Bhat's Janam. This movie was one of the first made-for-TV movies.,,,,,,,1 win & 6 nominations.,
Seema Biswas,"https://m.media-amazon.com/images/M/MV5BMTczMTgyOTkyOV5BMl5BanBnXkFtZTYwNTQ1MDA0._V1_UY128_CR0,0,86,128_AL_.jpg",,,,,Capricorn,"January 14,      1965      ;Nalbari, Assam, India",,5 wins & 6 nominations.,
Sachin Khedekar,"https://m.media-amazon.com/images/M/MV5BOThiMjlmYzYtNmQ3NC00YzUyLWE4MmUtMjEzMWQxNjMyZmVlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR4,0,86,128_AL_.jpg",,,,,Pisces,"March 14,      1965      ;Mumbai, Maharahstra, India",,1 win & 1 nomination.,
Sunny Deol,"https://m.media-amazon.com/images/M/MV5BMjEwOTA2MjMwMl5BMl5BanBnXkFtZTcwODc3MDgxOA@@._V1_UY128_CR2,0,86,128_AL_.jpg","In 1996, Dimple Kapadia started her home production and signed Sunny Deol, Salman Khan and Kajol. The film was shelved after the announcement.",,,,Libra,"Ajay Singh Deol;October 19,      1957      ;Sahnewal, Ludhiana, Punjab, India","5'7½""(1.71m)",6 wins & 7 nominations.,
Sudesh Lehri,"https://m.media-amazon.com/images/M/MV5BNjVhOGZjYzEtM2Y3MS00OTAyLTg5Y2QtZTQzMDVkZWQyYTI2L2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR5,0,86,128_AL_.jpg",,,,,,,,1 nomination.,
Soumitra Chatterjee,"https://m.media-amazon.com/images/M/MV5BMjI5Mjk4NDc3Ml5BMl5BanBnXkFtZTgwMjczMTI1NTE@._V1_UY128_CR45,0,86,128_AL_.jpg",Acted in 15 out of 34 films made by Late Satyajit Ray.,,,,Capricorn,"Soumitra Chattapadhaya;January 19,      1935      ;Krishnanagar, Bengal Presidency, British India",,4 wins.,
Saeed Jaffrey,"https://m.media-amazon.com/images/M/MV5BMTU4NTAzNTIxMl5BMl5BanBnXkFtZTcwMjkyNzg5Nw@@._V1_UX86_CR0,0,86,128_AL_.jpg",He was awarded the OBE (Officer of the Order of the British Empire) in the 1995 Queen's Birthday Honours List for his services to drama.,,,,Capricorn,"Saeed Joffrey;January 8,      1929      ;Malerkotla, Punjab, British India","5'5""(1.65m)",Nominated for1BAFTA Film Award.,"November 15,      2015                                  (age 86)                    ;London, England, UK"
Shivaji Ganesan,"https://m.media-amazon.com/images/M/MV5BMmI2Nzk4NWQtOTAxNi00ZTIxLTljNDktZDJlZDQ2NDRiODJjXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY128_CR10,0,86,128_AL_.jpg",He could only estimate the number of films he appeared in - 170 to 300.,,,The Marlon Brando of South Indian Cinema,Libra,"Villupuram Chinnaiahpillai Ganesan;October 1,      1928      ;Sirkali Sirkazhi, Tanjore District, Madras Presidency, British India",,6 wins.,"July 21,      2001                                  (age 72)                    ;Chennai, Tamil Nadu, India"
Sharmila Tagore,"https://m.media-amazon.com/images/M/MV5BMTg4Njc5MzUzNF5BMl5BanBnXkFtZTgwOTYzMTI1NTE@._V1_UY128_CR45,0,86,128_AL_.jpg","Mother of Saif Ali Khan, Saba Ali Khan and Soha Ali Khan.",,,,Sagittarius,"December 8,      1946      ;Hyderabad, Hyderabad State, British India","5'2""(1.57m)",7 wins & 3 nominations.,
